Player name,Score
Josh,44
Luke,145
Kate,861
Mark,75
Mary,488
Josh,643
Luke,581
Kate,183
Mark,118
Mary,992
Josh,143
Luke,369
Kate,464
Mark,264
Mary,893
Josh,173
Luke,39
Kate,979
Mark,797
Mary,273
Josh,624
Luke,781
Kate,400
Mark,390
Mary,111
Josh,148
Luke,923
Kate,930
Mark,282
Mary,316
Josh,963
Luke,255
Kate,391
Mark,703
Mary,308
Josh,128
Luke,621
Kate,131
Mark,415
Mary,543
Josh,396
Luke,224
Kate,727
Mark,157
Mary,90
Josh,803
Luke,811
Kate,696
Mark,208
Mary,510
Josh,86
Luke,825
Kate,413
Mark,464
Mary,49
Josh,500
Luke,995
Kate,257
Mark,971
Mary,450
Josh,890
Luke,95
Kate,950
Mark,769
Mary,522
Josh,71
Luke,960
Kate,15
Mark,786
Mary,495
Josh,94
Luke,20
Kate,811
Mark,441
Mary,953
Josh,677
Luke,649
Kate,466
Mark,204
Mary,655
Josh,729
Luke,862
Kate,629
Mark,409
Mary,924
Josh,48
Luke,875
Kate,903
Mark,356
Mary,999
Josh,949
Luke,69
Kate,369
Mark,3
Mary,98
Josh,845
Luke,429
Kate,989
Mark,921
Mary,532
Josh,847
Luke,273
Kate,158
Mark,465
Mary,182
Josh,71
Luke,526
Kate,903
Mark,985
Mary,847
Josh,109
Luke,668
Kate,893
Mark,985
Mary,743
Josh,79
Luke,784
Kate,181
Mark,771
Mary,573
Josh,701
Luke,473
Kate,721
Mark,692
Mary,103
Josh,826
Luke,487
Kate,796
Mark,47
Mary,632
Josh,902
Luke,481
Kate,462
Mark,358
Mary,182
Josh,838
Luke,458
Kate,347
Mark,789
Mary,497
Josh,222
Luke,750
Kate,896
Mark,925
Mary,431
Josh,560
Luke,442
Kate,909
Mark,272
Mary,602
Josh,794
Luke,825
Kate,978
Mark,644
Mary,17
Josh,746
Luke,9
Kate,657
Mark,359
Mary,237
Josh,173
Luke,373
Kate,97
Mark,94
Mary,779
Josh,825
Luke,462
Kate,568
Mark,172
Mary,923
Josh,654
Luke,638
Kate,681
Mark,98
Mary,862
Josh,374
Luke,992
Kate,445
Mark,326
Mary,249
Josh,589
Luke,951
Kate,774
Mark,682
Mary,616
Josh,627
Luke,358
Kate,673
Mark,658
Mary,393
Josh,284
Luke,693
Kate,960
Mark,601
Mary,525
Josh,629
Luke,365
Kate,517
Mark,536
Mary,871
Josh,505
Luke,750
Kate,727
Mark,856
Mary,339
Josh,237
Luke,571
Kate,643
Mark,390
Mary,395
Josh,862
Luke,203
Kate,571
Mark,124
Mary,225
Josh,722
Luke,791
Kate,795
Mark,664
Mary,150
Josh,657
Luke,34
Kate,276
Mark,624
Mary,572
Josh,343
Luke,386
Kate,23
Mark,486
Mary,310
Josh,175
Luke,767
Kate,288
Mark,661
Mary,429
Josh,413
Luke,20
Kate,948
Mark,137
Mary,24
Josh,741
Luke,892
Kate,211
Mark,171
Mary,974
Josh,956
Luke,78
Kate,267
Mark,323
Mary,106
Josh,700
Luke,318
Kate,804
Mark,101
Mary,170
Josh,587
Luke,522
Kate,272
Mark,829
Mary,203
Josh,487
Luke,679
Kate,454
Mark,598
Mary,496
Josh,206
Luke,648
Kate,342
Mark,479
Mary,826
Josh,297
Luke,642
Kate,838
Mark,180
Mary,436
Josh,449
Luke,4
Kate,451
Mark,59
Mary,963
Josh,877
Luke,148
Kate,971
Mark,394
Mary,437
Josh,298
Luke,271
Kate,686
Mark,763
Mary,260
Josh,222
Luke,589
Kate,42
Mark,219
Mary,138
Josh,964
Luke,2
Kate,245
Mark,774
Mary,526
Josh,257
Luke,438
Kate,23
Mark,506
Mary,811
Josh,410
Luke,147
Kate,578
Mark,923
Mary,112
Josh,963
Luke,640
Kate,177
Mark,681
Mary,861
Josh,674
Luke,366
Kate,215
Mark,393
Mary,862
Josh,714
Luke,280
Kate,902
Mark,750
Mary,647
Josh,934
Luke,240
Kate,528
Mark,161
Mary,436
Josh,925
Luke,472
Kate,756
Mark,420
Mary,371
Josh,965
Luke,278
Kate,795
Mark,95
Mary,451
Josh,490
Luke,508
Kate,233
Mark,796
Mary,228
Josh,275
Luke,852
Kate,770
Mark,784
Mary,648
Josh,394
Luke,595
Kate,842
Mark,960
Mary,457
Josh,597
Luke,215
Kate,962
Mark,190
Mary,932
Josh,661
Luke,951
Kate,848
Mark,471
Mary,749
Josh,165
Luke,319
Kate,945
Mark,838
Mary,942
Josh,606
Luke,906
Kate,998
Mark,601
Mary,74
Josh,205
Luke,986
Kate,79
Mark,302
Mary,561
Josh,111
Luke,756
Kate,694
Mark,897
Mary,823
Josh,180
Luke,604
Kate,253
Mark,148
Mary,276
Josh,46
Luke,228
Kate,609
Mark,161
Mary,399
Josh,267
Luke,311
Kate,634
Mark,148
Mary,161
Josh,911
Luke,459
Kate,118
Mark,472
Mary,250
Josh,114
Luke,357
Kate,239
Mark,465
Mary,309
Josh,124
Luke,910
Kate,634
Mark,92
Mary,108
Josh,998
Luke,305
Kate,456
Mark,594
Mary,801
Josh,311
Luke,975
Kate,119
Mark,938
Mary,570
Josh,236
Luke,909
Kate,426
Mark,565
Mary,445
Josh,231
Luke,644
Kate,424
Mark,52
Mary,370
Josh,977
Luke,671
Kate,326
Mark,985
Mary,523
Josh,953
Luke,305
Kate,519
Mark,151
Mary,322
Josh,807
Luke,24
Kate,114
Mark,460
Mary,295
Josh,592
Luke,410
Kate,664
Mark,856
Mary,104
Josh,476
Luke,606
Kate,846
Mark,958
Mary,851
Josh,425
Luke,999
Kate,678
Mark,592
Mary,702
Josh,27
Luke,128
Kate,262
Mark,813
Mary,246
Josh,358
Luke,299
Kate,151
Mark,995
Mary,879
Josh,523
Luke,766
Kate,336
Mark,124
Mary,17
Josh,853
Luke,658
Kate,526
Mark,221
Mary,802
Josh,620
Luke,515
Kate,225
Mark,513
Mary,932
Josh,385
Luke,467
Kate,992
Mark,515
Mary,951
Josh,251
Luke,587
Kate,1
Mark,20
Mary,147
